Sentence ID,Quality,Remarks,Raw Sentence,Annotated Sentence
HF001_1_1,4,<code mixing>,दो बजकर चार मिनट हुए हैं ए एम रेडियो और डिजिटल सैटेलाईट चेनल आठ सौ उनहत्तर पर ये बी बी सी एशियन नेटवर्क हैं ।                                                    ,दो बजकर चार मिनट हुए हैं ए एम रेडियो और डिजिटल सैटेलाईट चेनल आठ सौ उनहत्तर पर ये बी बी सी एशियन नेटवर्क हैं ।                                                    
HF001_1_2,4,<missing aux>,नम्बर आज जुमेरात दिस्मबर की पाँच तारिख सन् दो हज़ार दो उम्मीद है आप सब खैरियत से होंगे ।                                                          ,नम्बर आज जुमेरात दिस्मबर की पाँच तारिख सन् दो हज़ार दो उम्मीद है आप सब खैरियत से होंगे ।                                                          
HF001_1_3,4,,सबसे पहले मेरे तमाम सुनने वालो को मेरा प्यार भरा आदाब अस्सलामवलैकुम नमस्कार बंदगी और सत्यश्रीअकाल ।                                                            ,सबसे पहले मेरे तमाम सुनने वालो को मेरा प्यार भरा आदाब अस्सलामवलैकुम नमस्कार बंदगी और सत्यश्रीअकाल ।                                                            
HF001_1_4,5,,याद रहे बिंदर साहेबा आप के टेलीफोन्स के इंतज़ार मे हैं ।                                                                 ,याद रहे बिंदर साहेबा आप के टेलीफोन्स के इंतज़ार मे हैं ।                                                                 
HF001_1_5,4,<code mixing><spelling error>,इस से पहले की मै प्रोग्राम शुरु करुं अपने तमामा सुनने वालों को दिल की गहराई से ईद मुबारक कहते हैं ।                                                       ,इस से पहले की मै प्रोग्राम शुरु करुं अपने तमाम सुनने वालों को दिल की गहराई से ईद मुबारक कहते हैं ।                                                       
HF001_1_6,4,<reduplication>,और अल्लाह ताला से यही दुआ के ऐसी खुशियों भरी ईदें आप की ज़िंदगी मे बार बार आती रहें ।                                                         ,और अल्लाह ताला से यही दुआ के ऐसी खुशियों भरी ईदें आप की ज़िंदगी मे बार बार आती रहें ।                                                         
HF001_1_7,3,<missing verb>,आप की हर मुंह मांगी मुराद पूरी हो अगर आप हमे ईदी देना चाहते हैं तो सिर्फ इतना की नम्बर डायल करें हमारे लिये यही ईदी होगी ।                                                 ,आप की हर मुंह मांगी मुराद पूरी हो अगर आप हमे ईदी देना चाहते हैं तो सिर्फ इतना की नम्बर डायल करें हमारे लिये यही ईदी होगी ।                                                 
HF001_1_8,3,<fragment>,या फेक्स मेसेज उस से भी ज़्यादा अपनी ज़ुबान मे आप ईद मुबारक कहना चाहते हैं ।                                                            ,या फेक्स मेसेज उस से भी ज़्यादा अपनी ज़ुबान मे आप ईद मुबारक कहना चाहते हैं ।                                                            
HF001_1_9,4,,अब तो हम आप को खुशामदीद कहेंगे ।                                                                     ,अब तो हम आप को खुशामदीद कहेंगे ।                                                                     
HF001_1_10,3,<addition of case><word rep>,हमे आप से बात करके बहुत अच्छा लगेगा नम्बर वही डायल करना होगा आईए इसकी दोपहर को एक यादगार दोपहर बनाए ।                                                       ,हमे आप से बात करके बहुत अच्छा लगेगा नम्बर वही डायल करना होगा आईए इसकी दोपहर को एक यादगार दोपहर बनाए ।                                                       
HF001_1_11,5, ,ईद खुशियों का दिन है एक साथ मिलकर ईद मनाए और ये खुशियां बाँटें ।                                                              ,ईद खुशियों का दिन है एक साथ मिलकर ईद मनाए और ये खुशियां बाँटें ।                                                              
HF001_1_12,5,,नम्बर आपको डायल करना है ये चाहत ही तो कह रही हैं और सबूत क्या चाहिए ईद की ये खुशियों भरी दोपहर सिर्फ आपके नाम                                                    ,नम्बर आपको डायल करना है ये चाहत ही तो कह रही हैं और सबूत क्या चाहिए ईद की ये खुशियों भरी दोपहर सिर्फ आपके नाम                                                    
HF001_2_1,4,<missing aux>,आवाज़े अनुराधा पोढ़वाल और मोहम्मद अज़ीज़ की ।                                                                     ,आवाज़े अनुराधा पोढ़वाल और मोहम्मद अज़ीज़ की ।                                                                     
HF001_2_2,4,,नम्बर है ईद के पैगाम आप के चाहने वालो के नाम आप के रिश्तेदारों के नाम अगर हम से बात करना चाहें कुछ कहना चाहतें हैं तो भी बड़े शौक से चले आईए नम्बर                                           ,नम्बर है ईद के पैगाम आप के चाहने वालो के नाम आप के रिश्तेदारों के नाम अगर हम से बात करना चाहें कुछ कहना चाहतें हैं तो भी बड़े शौक से चले आईए नम्बर                                           
HF001_3_1,3,<missing aux><code mixing><reduplication>,लता मंगेशकर और मुकेश की आवाज़ें ये गाना डेडिकेट किया गया था वुलवाहेम्प्टन से फतह भाई आप को लेस्टर मे छोटा लाल भाई लेस्टर मे हरीश भाई आपको लेस्टर मे जस्सु बहन और कांति भाई आप तमाम सुनने वालो को ईद की बहुत बहुत मुबारक बाद दे रहे है दिल की गहराई से शुक्रिया अदा करते हैं प्रोग्राम की तारिफ के लिए ।              ,लता मंगेशकर और मुकेश की आवाज़ें ये गाना डेडिकेट किया गया था वुलवाहेम्प्टन से फतह भाई आप को लेस्टर मे छोटा लाल भाई लेस्टर मे हरीश भाई आपको लेस्टर मे जस्सु बहन और कांति भाई आप तमाम सुनने वालो को ईद की बहुत बहुत मुबारक बाद दे रहे है दिल की गहराई से शुक्रिया अदा करते हैं प्रोग्राम की तारिफ के लिए ।              
HF001_3_2,3,<wrong pronoun>,आप नी ज़ुबानी किसी को कहना चाहते हैं ईद की मुबारक बाद देना चाहते हैं तो बड़े शौक के साथ खुशियों भरा दिन हैं आईये मिलकर मनाए ।                                                 ,आप नी ज़ुबानी किसी को कहना चाहते हैं ईद की मुबारक बाद देना चाहते हैं तो बड़े शौक के साथ खुशियों भरा दिन हैं आईये मिलकर मनाए ।                                                 
HF001_4_1,4,<code mixing>,वक्त है दो बजकर तेईस मिनट गुरजीत सिंह गिल कोवेन्टो से आपने याद फरमाया है ईद की मुबारक बाद तमाम सुनने वालो को दे रहे हैं आप ।                                                 ,वक्त है दो बजकर तेईस मिनट गुरजीत सिंह गिल कोवेन्टो से आपने याद फरमाया है ईद की मुबारक बाद तमाम सुनने वालो को दे रहे हैं आप ।                                                 
HF001_4_2,4,<code mixing>,अगर आप एयर पर आ कर अपनी ज़ुबानी किसी को मुबारक बादी देना चाहते है तो बड़े शौक के साथ चले आईये ।                                                      ,अगर आप एयर पर आ कर अपनी ज़ुबानी किसी को मुबारक बादी देना चाहते है तो बड़े शौक के साथ चले आईये ।                                                      
HF001_5_1,4,<code mixing>,दोपहर के ठीक ढाई बजे हैं बी बी सी एशियन नेटवर्क से खबरें आईशा एहमद की ज़ुबानी ।                                                           ,दोपहर के ठीक ढाई बजे हैं बी बी सी एशियन नेटवर्क से खबरें आईशा एहमद की ज़ुबानी ।                                                           
HF002_6_1,5,,आज बरतानिया के मुल्क भर मे मुसलमानों का त्योहार ईद उल फितर मनाया जा रहा है ।                                                            ,आज बरतानिया के मुल्क भर मे मुसलमानों का त्योहार ईद उल फितर मनाया जा रहा है । 
HF002_6_2,2,<missing verb>,बंग्लादेश मे एक हादसे के नतीजे मे सौलह लोग गए हैं ।                                                                 ,बंग्लादेश मे एक हादसे के नतीजे मे सौलह लोग गए हैं ।                                                                 
HF002_6_3,4,<code mixing>,नेपाल मे तीन पुलिस मैन मारे गए हैं ।                                                                    ,नेपाल मे तीन पुलिस मैन मारे गए हैं ।                                                                    
HF002_6_4,5,,अब आप खबरें तफसील के साथ सुनिये ।                                                                     ,अब आप खबरें तफसील के साथ सुनिये ।                                                                     
HF002_6_5,4,<reduplication>,बंग्लादेश मे पुलिस का कहना है के जमाला पुर की डिस्ट्रिक मे एक लौरी के हादसे मे कम से कम सौलह लोग मारे गए हैं बताया जाता है के यह हादसा उस वक्त पैश आया जब ईद की छुट्टी से एक रात पहले हज़ारो लोग केपीटल धाका से अपने अपने गाँव जाने के लिए सफर की तैयारी कर रहे थे ।                ,बंग्लादेश मे पुलिस का कहना है के जमाला पुर की डिस्ट्रिक मे एक लौरी के हादसे मे कम से कम सौलह लोग मारे गए हैं बताया जाता है के यह हादसा उस वक्त पैश आया जब ईद की छुट्टी से एक रात पहले हज़ारो लोग केपीटल धाका से अपने अपने गाँव जाने के लिए सफर की तैयारी कर रहे थे ।                
HF002_6_6,3,<wrong verb>,पुलिस अफसरों ने बताया के उस लौरी मे सतरा लोग सवार थे हादसे के बाद ज़िन्दा बचने वाले अकेले आदमी की हालत भी खतरनाक बताई जाती है और कहा जाता है के वो मकामी हस्पताल मे ज़ेरे ईलाज हैं ।                                     ,पुलिस अफसरों ने बताया के उस लौरी मे सतरा लोग सवार थे हादसे के बाद ज़िन्दा बचने वाले अकेले आदमी की हालत भी खतरनाक बताई जाती है और कहा जाता है के वो मकामी हस्पताल मे ज़ेरे ईलाज हैं ।                                     
HF002_6_7,4,<code mixing>,प्रसीडेंट सद्दाम हुसैन का कहना है कि यनाईटेड नेशन के हत्यारों के इंस्पेकशन्स से उन्हे अमेरिका के उस इलज़ाम को ग़लत साबित करने का मौका मिल गया है जिसमे वो कहते थे के बगदाद बड़े पैमाने पर तबाही मचाने वाले हत्थयार बना रहा हैं ।                                ,प्रसीडेंट सद्दाम हुसैन का कहना है कि यनाईटेड नेशन के हत्यारों के इंस्पेकशन्स से उन्हे अमेरिका के उस इलज़ाम को ग़लत साबित करने का मौका मिल गया है जिसमे वो कहते थे के बगदाद बड़े पैमाने पर तबाही मचाने वाले हत्थयार बना रहा हैं ।                                
HF002_6_8,4,<code mixing>,पिछले हफ्ते शुरु होने वाले इस इंसपेक्शन के बारे मे पहली मरतबा बाते करते हुए उन्होने कहा के सिर्फ इस लिए के ईराक के लोगो को नुकसान ना पहुँचे वो इस इंसपेकशन के लिए राज़ी हो गए थे ।                                      ,पिछले हफ्ते शुरु होने वाले इस इंसपेक्शन के बारे मे पहली मरतबा बाते करते हुए उन्होने कहा के सिर्फ इस लिए के ईराक के लोगो को नुकसान ना पहुँचे वो इस इंसपेकशन के लिए राज़ी हो गए थे ।                                      
HF002_6_9,4,<code mixing>,याद रहे के युनाईटेड नेशन ने ईराक को इत्वार तक का वक्त दिया है के वो अपने न्युक्लीयर बायलोजीकल और केमिकल हत्थयारों के प्रोग्राम दिखा दे उनका कहना है के ईराक के लिए ज़रुरी है के वो सच्चाई बता दे वरना उन के खिलाफ फौजी कार्यवाही की जाए गी ।                           ,याद रहे के युनाईटेड नेशन ने ईराक को इत्वार तक का वक्त दिया है के वो अपने न्युक्लीयर बायलोजीकल और केमिकल हत्थयारों के प्रोग्राम दिखा दे उनका कहना है के ईराक के लिए ज़रुरी है के वो सच्चाई बता दे वरना उन के खिलाफ फौजी कार्यवाही की जाए गी ।                           
HF002_6_10,4,<code mixing><wrong spelling>,नेपाल के माउस बागि़यों की पुलिस स्टेशन्स और दुसरे सरकारी निशानों पर हमला करने के नतीजे मे कम से कम तीन पुलिस मैन मारे गए है ये हमले सात सलों से जारी लड़ाई को खत्म करने के सिलसिले मे की जाने वाले बात चीत के एक विधिन पूरा होने से पहले कर दिये गए है अहलकारों का तास्सुर इस बारे मे परेशान गुन था ।            ,नेपाल के माउस बागि़यों की पुलिस स्टेशन्स और दुसरे सरकारी निशानों पर हमला करने के नतीजे मे कम से कम तीन पुलिस मैन मारे गए है ये हमले सात सालों से जारी लड़ाई को खत्म करने के सिलसिले मे की जाने वाले बात चीत के एक विधिन पूरा होने से पहले कर दिये गए है अहलकारों का तास्सुर इस बारे मे परेशान गुन था ।            
HF002_6_11,4,<code mixing>,और उन्होने कहा के वो बागियों की स्टेट मेन्ट के बारे मे फिक्र कर रहे हैं नामा निगारों ने बताया के हमेशा अमन की बातचीत के बात खून बहा हुआ हैं जिसमे दोनो पार्टियां एक दुसरे को लड़ाई शुरु करने का इल्ज़ाम देती रही हैं ।                               ,और उन्होने कहा के वो बागियों की स्टेट मेन्ट के बारे मे फिक्र कर रहे हैं नामा निगारों ने बताया के हमेशा अमन की बातचीत के बात खून बहा हुआ हैं जिसमे दोनो पार्टियां एक दुसरे को लड़ाई शुरु करने का इल्ज़ाम देती रही हैं ।                               
